日付,レギュラーガソリン価格(\/L),原油価格($/bbl),月中平均為替相場（USD/JPY）,c重油価格(\/kL),輸入物価指数（b重油・c重油）,輸入物価指数（原油）
2000年10月,108,31.4,108.34,26900,37.7,73.1
2000年11月,109,32.33,108.87,26900,38.1,74.9
2000年12月,110,25.2,112.21,26900,39,74.7
2001年1月,109,25.96,117.1,24900,40.8,65
2001年2月,109,27.24,116.1,24900,40.6,62.4
2001年3月,109,25.02,121.21,24900,42.1,68.1
2001年4月,108,25.72,123.77,26050,43.1,69.3
2001年5月,108,27.55,121.83,26050,42.2,69.6
2001年6月,107,26.97,122.19,26050,41.8,72.2
2001年7月,107,24.8,124.63,27300,42.8,73.8
2001年8月,107,25.82,121.53,27300,40.4,69.5
2001年9月,107,25.21,118.91,27300,38,66.7
2001年10月,107,20.73,121.32,25250,38.8,66.9
2001年11月,106,18.69,122.33,25250,39,57.7
2001年12月,105,18.52,127.32,25250,44.1,54.8
2002年1月,105,19.15,132.66,21900,46.3,55.9
2002年2月,104,19.98,133.53,21900,46.7,57
2002年3月,104,23.64,131.15,21900,46.3,58.1
2002年4月,104,25.43,131.01,25950,46.2,68.9
2002年5月,106,25.67,126.39,25950,44.6,70.4
2002年6月,106,24.49,123.44,25950,43.6,68.6
2002年7月,106,25.75,118.08,26200,41.6,65.9
2002年8月,105,26.78,119.03,26200,42,68
2002年9月,105,28.28,120.49,26200,46.1,70
2002年10月,105,27.53,123.88,27350,47.4,75.1
2002年11月,105,24.54,121.54,27350,46.3,74.6
2002年12月,105,27.89,122.17,27350,49.3,68.5
2003年1月,105,30.75,118.67,27400,49.3,73.2
2003年2月,105,32.88,119.29,27400,51.8,80
2003年3月,108,30.36,118.49,27400,50.9,82.2
2003年4月,109,25.56,119.82,28500,50.2,77.9
2003年5月,110,26.06,117.26,28500,62.1,67.4
2003年6月,108,27.92,118.27,28500,65.4,69.7
2003年7月,106,28.59,118.65,26800,64.3,70.9
2003年8月,106,29.68,118.81,26800,64.4,73
2003年9月,106,26.88,115.09,26800,62.5,72.2
2003年10月,106,29.01,109.58,26950,60.2,66.6
2003年11月,106,29.12,109.18,26950,61.4,69.9
2003年12月,105,29.97,107.87,26950,60.7,70.1
2004年1月,105,31.37,106.39,26750,59.5,70
2004年2月,105,31.33,106.54,26750,60.1,70.9
2004年3月,106,33.67,108.57,26750,61.7,71.8
2004年4月,108,33.71,107.31,27850,59.6,74.2
2004年5月,108,37.56,112.27,27850,63.8,81
2004年6月,114,35.54,109.45,27850,61,85.4
2004年7月,115,37.89,109.34,31000,62,83.9
2004年8月,115,42.08,110.41,31000,64.1,87.5
2004年9月,119,41.6,110.05,31000,65.9,94.4
2004年10月,120,46.88,108.9,33000,72.5,89.5
2004年11月,121,42.13,104.86,33000,69.4,90.6
2004年12月,119,39.04,103.82,33000,63.7,83.7
2005年1月,118,42.97,103.27,30800,65.7,82.2
2005年2月,116,44.82,104.84,30800,68.2,90
2005年3月,117,50.94,105.3,30800,71.5,94.5
2005年4月,123,50.64,107.35,37250,76.5,111.2
2005年5月,125,47.83,106.94,37250,77.4,112.6
2005年6月,122,53.89,108.62,37250,93.1,110.2
2005年7月,124,56.37,111.94,41600,102.5,125
2005年8月,128,61.89,110.65,41600,103.8,127.7
2005年9月,130,61.69,111.03,41600,103.1,136.3
2005年10月,131,58.19,114.84,46850,111.6,141.2
2005年11月,130,55.04,118.45,46850,112.7,138.1
2005年12月,128,56.43,118.6,46850,112.1,131.3
2006年1月,128,62.46,115.33,47800,114,132.6
2006年2月,129,59.7,117.81,47800,119.3,147.6
2006年3月,130,60.93,117.31,47800,115.6,147
2006年4月,130,67.97,117.13,51650,120.5,146.5
2006年5月,136,68.68,111.53,51650,115.2,153.3
2006年6月,135,68.29,114.57,51650,116.4,158.5
2006年7月,137,72.45,115.59,54050,116.6,160.4
2006年8月,144,71.81,115.86,54050,114.3,172.2
2006年9月,144,62.12,117.02,54050,98,172.6
2006年10月,141,57.91,118.59,51150,96,153.5
2006年11月,135,58.14,117.33,51150,90.8,143
2006年12月,133,60.99,117.26,51150,92.3,141.6
2007年1月,131,53.52,120.59,48900,93.3,149.9
2007年2月,127,57.56,120.49,48900,95.5,133.6
2007年3月,127,60.6,117.29,48900,94,138.8
2007年4月,129,65.06,118.81,53550,100.6,148.9
2007年5月,135,65.16,120.77,53550,113.3,164.1
2007年6月,139,68.19,122.64,53550,118.7,167.9
2007年7月,141,73.6,121.56,58450,116.7,169.6
2007年8月,145,70.13,116.74,58450,115.2,172.4
2007年9月,143,76.76,115.01,58450,116,168.4
2007年10月,145,81.97,115.77,64250,115.9,182.6
2007年11月,150,91.34,111.24,64250,119.1,187.5
2007年12月,156,89.52,112.28,64250,122.5,211.4
2008年1月,154,90.69,107.6,67500,118.8,199.4
2008年2月,152,93.39,107.18,67500,119.6,203.9
2008年3月,153,101.84,100.83,67500,116.8,196.5
2008年4月,132,108.76,102.41,75100,124.6,213.2
2008年5月,160,122.63,104.11,75100,135.1,233.3
2008年6月,172,131.52,106.86,75100,142.6,272
2008年7月,181,132.83,106.76,91050,145.5,288.7
2008年8月,182,114.57,109.24,91050,176.7,306.7
2008年9月,173,99.66,106.71,91050,163.5,257.5
2008年10月,158,72.69,100.2,53600,131.7,203.2
2008年11月,132,53.97,96.89,53600,114.9,142.6
2008年12月,117,41.34,91.21,53600,107.2,97.5
2009年1月,106,43.86,90.35,31500,103,78.3
2009年2月,111,41.84,92.53,31500,108.4,85.7
2009年3月,112,46.65,97.83,31500,114,91.3
2009年4月,116,50.28,98.92,39050,117.7,97.5
2009年5月,116,58.15,96.43,39050,120.1,103.6
2009年6月,121,69.15,96.58,39050,129.7,117.3
2009年7月,126,64.67,94.49,48600,129.8,135.1
2009年8月,127,71.63,94.9,48600,132.4,133.1
2009年9月,131,68.35,91.4,48600,127.7,139.2
2009年10月,128,74.08,90.28,48900,126,130.1
2009年11月,126,77.55,89.11,48900,123.7,137.7
2009年12月,125,74.88,89.52,48900,123.8,147.6
2010年1月,125,77.12,91.26,50450,122.1,146.6
2010年2月,128,74.76,90.28,50450,119.1,147.2
2010年3月,130,79.3,90.56,50450,117.7,141.6
2010年4月,133,84.18,93.43,53250,125.5,153.9
2010年5月,137,75.62,91.79,53250,121.9,159.8
2010年6月,136,74.73,90.89,53250,116.3,147.4
2010年7月,133,74.58,87.67,48800,114.5,138.5
2010年8月,132,75.83,85.44,48800,114.7,131.2
2010年9月,132,76.12,84.31,48800,112,132
2010年10月,132,81.72,81.8,48850,110.9,130.4
2010年11月,131,84.53,82.43,48850,118.8,140
2010年12月,131,90.01,83.38,48850,125.4,148.5
2011年1月,135,92.69,82.63,56350,124.4,156.7
2011年2月,136,97.91,82.52,56350,142.6,163.2
2011年3月,147,108.65,81.82,56350,152.2,174
2011年4月,151,116.24,83.34,66450,167,193.3
2011年5月,151,108.07,81.23,66450,160.3,201.9
2011年6月,146,105.85,80.49,66450,157.5,187.8
2011年7月,147,107.92,79.44,62950,157.4,184.8
2011年8月,150,100.49,77.09,62950,151.4,180.9
2011年9月,144,100.82,76.78,62950,150.6,173.8
2011年10月,141,99.85,76.72,60500,150,174.3
2011年11月,141,105.41,77.5,60500,158.5,174.9
2011年12月,143,104.23,77.81,60500,158.6,183.7
2012年1月,141,107.07,76.94,64600,160.1,178.7
2012年2月,142,112.69,78.47,64600,167.9,188.2
2012年3月,155,117.79,82.37,64600,179.7,207.3
2012年4月,156,113.67,81.42,69050,178,214.2
2012年5月,151,104.09,79.7,69050,167.8,200.7
2012年6月,140,90.73,79.27,69050,153.9,185.5
2012年7月,139,96.75,78.96,59600,155.1,163.4
2012年8月,143,105.27,78.68,59600,156.3,168.7
2012年9月,147,106.28,78.17,59600,156.1,182.5
2012年10月,146,103.41,78.97,63900,153.8,187.5
2012年11月,144,101.17,80.92,63900,153.5,189.1
2012年12月,146,101.19,83.6,63900,157.3,193.5
